VaR,ES
2.842101925,1.927133589
2.842101925,1.927133589
2.84178029,1.931147754
2.878308306,1.949555283
2.866482419,1.945827066
2.866482419,1.945827066
2.866482419,1.945827066
2.90359107,1.963962878
2.90359107,1.963962878
2.952353699,1.990900158
2.952353699,1.990900158
2.959607916,1.999019118
2.959607916,1.999019118
2.959607916,1.999019118
2.94779069,1.99479343
2.94779069,1.99479343
2.945520892,1.996169929
2.945520892,1.996169929
2.945520892,1.996169929
2.945520892,1.996169929
2.947240063,1.999661408
2.947240063,1.999661408
2.947240063,1.999661408
2.995195853,2.031275732
3.012562017,2.042970173
3.012562017,2.042970173
3.012562017,2.042970173
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.053667456,2.075498668
3.001694428,2.037910303
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.059581552,2.078247785
3.075955122,2.092151095
3.075955122,2.092151095
3.075955122,2.092151095
3.075955122,2.092151095
3.075955122,2.092151095
3.075955122,2.092151095
3.075955122,2.092151095
3.083047968,2.097620993
3.068321527,2.091218138
3.075388388,2.094067591
3.055602309,2.085330771
3.054149087,2.084231042
3.064722626,2.08693943
3.064722626,2.08693943
3.064722626,2.08693943
3.064722626,2.08693943
3.064722626,2.08693943
3.064722626,2.08693943
3.064722626,2.08693943
3.064722626,2.08693943
3.064722626,2.08693943
3.058763814,2.082276925
3.058763814,2.082276925
3.058763814,2.082276925
3.058763814,2.082276925
3.045663396,2.078112085
3.045663396,2.078112085
3.045663396,2.078112085
3.037318249,2.076453454
3.020721069,2.069229692
3.030441913,2.073280228
3.030441913,2.073280228
3.030441913,2.073280228
3.030441913,2.073280228
3.011847491,2.065143945
3.011847491,2.065143945
3.011847491,2.065143945
3.011847491,2.065143945
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.02803614,2.080714552
3.013844854,2.06606325
3.013844854,2.06606325
3.013844854,2.06606325
3.013844854,2.06606325
3.013844854,2.06606325
3.013844854,2.06606325
3.034081261,2.08349135
3.039571415,2.091458744
3.039571415,2.091458744
3.039571415,2.091458744
3.039571415,2.091458744
3.039571415,2.091458744
3.039571415,2.091458744
3.039571415,2.091458744
3.036293647,2.084508067
3.036293647,2.084508067
3.190967112,2.161478663
