VaR,ES
1.217882203,1.927133589
1.217882203,1.927133589
1.226271069,1.931147754
1.229090192,1.949555283
1.232691203,1.945827066
1.232691203,1.945827066
1.232691203,1.945827066
1.234370401,1.963962878
1.234370401,1.963962878
1.242751679,1.990900158
1.242751679,1.990900158
1.252410515,1.999019118
1.252410515,1.999019118
1.252410515,1.999019118
1.255059627,1.99479343
1.255059627,1.99479343
1.259997763,1.996169929
1.259997763,1.996169929
1.259997763,1.996169929
1.259997763,1.996169929
1.265433059,1.999661408
1.265433059,1.999661408
1.265433059,1.999661408
1.284160485,2.031275732
1.29143861,2.042970173
1.29143861,2.042970173
1.29143861,2.042970173
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.318430295,2.075498668
1.29143861,2.037910303
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.318430295,2.078247785
1.331070799,2.092151095
1.331070799,2.092151095
1.331070799,2.092151095
1.331070799,2.092151095
1.331070799,2.092151095
1.331070799,2.092151095
1.331070799,2.092151095
1.33543379,2.097620993
1.336284004,2.091218138
1.33543379,2.094067591
1.336284004,2.085330771
1.33543379,2.084231042
1.331070799,2.08693943
1.331070799,2.08693943
1.331070799,2.08693943
1.331070799,2.08693943
1.331070799,2.08693943
1.331070799,2.08693943
1.331070799,2.08693943
1.331070799,2.08693943
1.331070799,2.08693943
1.327273382,2.082276925
1.327273382,2.082276925
1.327273382,2.082276925
1.327273382,2.082276925
1.331070799,2.078112085
1.331070799,2.078112085
1.331070799,2.078112085
1.33543379,2.076453454
1.336284004,2.069229692
1.33543379,2.073280228
1.33543379,2.073280228
1.33543379,2.073280228
1.33543379,2.073280228
1.336284004,2.065143945
1.336284004,2.065143945
1.336284004,2.065143945
1.336284004,2.065143945
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.352243764,2.080714552
1.336284004,2.06606325
1.336284004,2.06606325
1.336284004,2.06606325
1.336284004,2.06606325
1.336284004,2.06606325
1.336284004,2.06606325
1.352243764,2.08349135
1.362907555,2.091458744
1.362907555,2.091458744
1.362907555,2.091458744
1.362907555,2.091458744
1.362907555,2.091458744
1.362907555,2.091458744
1.362907555,2.091458744
1.352243764,2.084508067
1.352243764,2.084508067
1.362907555,2.161478663
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.36900659,2.180086929
1.370243999,2.181442509
1.370243999,2.181442509
1.370243999,2.181442509
1.370243999,2.181442509
1.370243999,2.181442509
1.370243999,2.181442509
1.370243999,2.181442509
1.370243999,2.181442509
1.36900659,2.189612464
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.370243999,2.19178306
1.384144478,2.243985799
1.384144478,2.243985799
1.396372016,2.254508825
1.396372016,2.254508825
1.396372016,2.254508825
1.399055064,2.255115517
1.399055064,2.255115517
1.399055064,2.255115517
1.399055064,2.255115517
1.399055064,2.255115517
1.399373836,2.249613203
1.399373836,2.241852553
