ahat,Ahat
2.027297294,0.302318554
2.027297294,0.302318554
2.0345125,0.308099269
2.001094152,0.302366064
1.994626763,0.302748537
1.994626763,0.302748537
1.994626763,0.302748537
1.957442311,0.295588995
1.957442311,0.295588995
1.941955362,0.296162082
1.941955362,0.296162082
1.961203241,0.304946573
1.961203241,0.304946573
1.961203241,0.304946573
1.943424594,0.302213901
1.943424594,0.302213901
1.949936892,0.306009762
1.949936892,0.306009762
1.949936892,0.306009762
1.949936892,0.306009762
1.936748813,0.305551839
1.936748813,0.305551839
1.936748813,0.305551839
1.957593851,0.319414826
1.945166652,0.319899677
1.945166652,0.319899677
1.945166652,0.319899677
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
2.00466265,0.348911618
1.931311795,0.316497634
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.008364611,0.349913855
2.038929858,0.365291638
2.038929858,0.365291638
2.038929858,0.365291638
2.038929858,0.365291638
2.038929858,0.365291638
2.038929858,0.365291638
2.038929858,0.365291638
2.050878076,0.371172668
2.041689028,0.369007958
2.044375057,0.369300414
2.024929796,0.364205199
2.022598055,0.36307231
2.025489981,0.361491672
2.025489981,0.361491672
2.025489981,0.361491672
2.025489981,0.361491672
2.025489981,0.361491672
2.025489981,0.361491672
2.025489981,0.361491672
2.025489981,0.361491672
2.025489981,0.361491672
2.01540288,0.3565961
2.01540288,0.3565961
2.01540288,0.3565961
2.01540288,0.3565961
2.00415421,0.355508022
2.00415421,0.355508022
2.00415421,0.355508022
2.004371572,0.357908591
1.980846053,0.351752186
2.008217546,0.358994493
2.008217546,0.358994493
2.008217546,0.358994493
2.008217546,0.358994493
1.986222061,0.35325695
1.986222061,0.35325695
1.986222061,0.35325695
1.986222061,0.35325695
2.019074723,0.371331852
2.019074723,0.371331852
2.019074723,0.371331852
2.019074723,0.371331852
2.019074723,0.371331852
2.019074723,0.371331852
2.019074723,0.371331852
2.019074723,0.371331852
2.019074723,0.371331852
