VaR,ES
1.217882203,2.403402901
1.217882203,2.403402901
1.226271069,2.411632357
1.229090192,2.456837042
1.232691203,2.472041731
1.232691203,2.472041731
1.232691203,2.472041731
1.234370401,2.523607764
1.234370401,2.523607764
1.242751679,2.562083497
1.242751679,2.562083497
1.252410515,2.5553717
1.252410515,2.5553717
1.252410515,2.5553717
1.255059627,2.58538283
1.255059627,2.58538283
1.259997763,2.58639931
1.259997763,2.58639931
1.259997763,2.58639931
1.259997763,2.58639931
1.265433059,2.616310734
1.265433059,2.616310734
1.265433059,2.616310734
1.284160485,2.625188817
1.29143861,2.657799354
1.29143861,2.657799354
1.29143861,2.657799354
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.318430295,2.63074174
1.29143861,2.678126308
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.318430295,2.625923914
1.331070799,2.612264893
1.331070799,2.612264893
1.331070799,2.612264893
1.331070799,2.612264893
1.331070799,2.612264893
1.331070799,2.612264893
1.331070799,2.612264893
1.33543379,2.606212789
1.336284004,2.61908911
1.33543379,2.61412556
1.336284004,2.640065014
1.33543379,2.641356271
1.331070799,2.62905598
1.331070799,2.62905598
1.331070799,2.62905598
1.331070799,2.62905598
1.331070799,2.62905598
1.331070799,2.62905598
1.331070799,2.62905598
1.331070799,2.62905598
1.331070799,2.62905598
1.327273382,2.634413049
1.327273382,2.634413049
1.327273382,2.634413049
1.327273382,2.634413049
1.331070799,2.656634926
1.331070799,2.656634926
1.331070799,2.656634926
1.33543379,2.665055045
1.336284004,2.698662942
1.33543379,2.659983036
1.33543379,2.659983036
1.33543379,2.659983036
1.33543379,2.659983036
1.336284004,2.69123646
1.336284004,2.69123646
1.336284004,2.69123646
1.336284004,2.69123646
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.352243764,2.679176649
1.336284004,2.686751317
1.336284004,2.686751317
1.336284004,2.686751317
1.336284004,2.686751317
1.336284004,2.686751317
1.336284004,2.686751317
1.352243764,2.669290954
1.362907555,2.666187033
1.362907555,2.666187033
1.362907555,2.666187033
1.362907555,2.666187033
1.362907555,2.666187033
1.362907555,2.666187033
1.362907555,2.666187033
1.352243764,2.66545947
1.352243764,2.66545947
