VIG,
73.07299,0
71.900505,-1.172485
71.269157,-0.631348
72.198158,0.929001
73.45179,1.253632
72.838501,-0.613289
72.315384,-0.523117
72.14402,-0.171364
71.693077,-0.450943
71.386406,-0.306671
72.171059,0.784653
72.171059,0
72.432625,0.261566
73.460808,1.028183
73.009857,-0.450951
73.217316,0.207459
72.486755,-0.730561
71.503647,-0.983108
71.900505,0.396858
70.728012,-1.172493
71.684059,0.956047
72.838501,1.154442
72.49575,-0.342751
73.244354,0.748604
73.036911,-0.207443
72.658096,-0.378815
73.41571,0.757614
73.442764,0.027054
73.875694,0.43293
74.308609,0.432915
74.407829,0.09922
74.470947,0.063118
74.317642,-0.153305
74.71447,0.396828
74.615257,-0.099213
74.894852,0.279595
74.840736,-0.054116
74.750549,-0.090187
74.678398,-0.072151
75.057198,0.3788
74.57016,-0.487038
74.137245,-0.432915
74.344688,0.207443
73.298462,-1.046226
73.74041,0.441948
72.631058,-1.109352
72.414581,-0.216477
73.325531,0.91095
72.730263,-0.595268
73.7314,1.001137
73.307495,-0.423905
74.001961,0.694466
73.60511,-0.396851
74.155289,0.550179
74.118095,-0.037194
73.800667,-0.317428
72.712296,-1.088371
72.567169,-0.145127
72.793915,0.226746
73.682739,0.888824
72.984383,-0.698356
72.77578,-0.208603
72.957184,0.181404
73.564835,0.607651
73.310898,-0.253937
73.528564,0.217666
73.846024,0.31746
74.009262,0.163238
73.682739,-0.326523
73.709961,0.027222
73.82785,0.117889
73.60112,-0.22673
72.730431,-0.870689
73.492279,0.761848
73.44693,-0.045349
73.782532,0.335602
73.800667,0.018135
74.000191,0.199524
73.791603,-0.208588
73.963921,0.172318
73.537628,-0.426293
72.830193,-0.707435
73.610191,0.779998
73.791603,0.181412
73.038788,-0.752815
72.839264,-0.199524
73.211113,0.371849
74.054619,0.843506
73.782532,-0.272087
73.610191,-0.172341
73.628319,0.018128
74.444603,0.816284
74.635086,0.190483
74.771126,0.13604
74.662277,-0.108849
74.499031,-0.163246
74.653214,0.154183
74.308571,-0.344643
73.610191,-0.69838
74.245064,0.634873
74.13623,-0.108834
73.528564,-0.607666
73.637398,0.108834
73.573906,-0.063492
73.782532,0.208626
73.065987,-0.716545
72.757629,-0.308358
72.367638,-0.389991
72.403931,0.036293
73.283699,0.879768
73.564835,0.281136
73.075081,-0.489754
72.558083,-0.516998
73.020645,0.462562
73.220184,0.199539
74.036484,0.8163
73.700882,-0.335602
74.000191,0.299309
73.882286,-0.117905
73.238335,-0.643951
72.939018,-0.299317
73.041168,0.10215
71.654953,-1.386215
71.66407,0.009117
72.366302,0.702232
72.311584,-0.054718
72.129189,-0.182395
72.804062,0.674873
71.800873,-1.003189
71.955887,0.155014
72.73111,0.775223
73.488045,0.756935
73.661316,0.173271
73.524529,-0.136787
73.944038,0.419509
73.652206,-0.291832
73.725159,0.072953
73.13237,-0.592789
72.968208,-0.164162
72.630753,-0.337455
72.074471,-0.556282
71.691429,-0.383042
72.512215,0.820786
73.223564,0.711349
73.223564,0
73.214439,-0.009125
73.095886,-0.118553
73.068535,-0.027351
73.579239,0.510704
72.931747,-0.647492
72.649002,-0.282745
73.360374,0.711372
72.776711,-0.583663
72.785812,0.009101
72.703728,-0.082084
72.986465,0.282737
73.333015,0.34655
73.19622,-0.136795
72.612534,-0.583686
71.518158,-1.094376
69.447945,-2.070213
66.456619,-2.991326
65.9459,-0.510719
68.207642,2.261742
69.51178,1.304138
69.438805,-0.072975
68.918991,-0.519814
67.149727,-1.769264
68.244118,1.094391
68.426514,0.182396
67.423325,-1.003189
69.037529,1.614204
68.089081,-0.948448
68.152908,0.063827
68.453857,0.300949
68.070847,-0.38301
68.918991,0.848144
69.402336,0.483345
69.365852,-0.036484
68.198517,-1.167335
68.636276,0.437759
67.842827,-0.793449
67.616219,-0.226608
67.478615,-0.137604
67.634575,0.15596
66.441872,-1.192703
66.671234,0.229362
67.652916,0.981682
67.634575,-0.018341
68.561195,0.92662
69.818108,1.256913
69.50618,-0.311928
69.983253,0.477073
70.864006,0.880753
70.992439,0.128433
71.056679,0.06424
70.469498,-0.587181
69.909851,-0.559647
70.625488,0.715637
70.92823,0.302742
70.937408,0.009178
70.854836,-0.082572
70.763069,-0.091767
72.157608,1.394539
72.561295,0.403687
72.478722,-0.082573
72.258537,-0.220185
72.643867,0.38533
72.616333,-0.027534
72.212669,-0.403664
72.799828,0.587159
73.010841,0.211013
72.818192,-0.192649
72.607162,-0.21103
72.405319,-0.201843
71.735588,-0.669731
71.900734,0.165146
71.616318,-0.284416
70.671349,-0.944969
70.047462,-0.623887
71.203453,1.155991
71.230995,0.027542
72.038345,0.80735
72.139267,0.100922
72.423683,0.284416
72.497063,0.07338
72.653046,0.155983
72.689743,0.036697
72.836555,0.146812
72.405319,-0.431236
72.946617,0.541298
72.460381,-0.486236
71.726402,-0.733979
73.010841,1.284439
72.818192,-0.192649
72.231018,-0.587174
71.607147,-0.623871
71.689713,0.082566
70.671349,-1.018364
71.084198,0.412849
71.432846,0.348648
72.497063,1.064217
71.478706,-1.018357
70.27684,-1.201866
70.873161,0.596321
71.772278,0.899117
72.487656,0.715378
72.358414,-0.129242
72.24765,-0.110764
72.949188,0.701538
72.561501,-0.387687
71.776886,-0.784615
