DATE,interest rate,change
2019/2/22,0.75,-0.07
2019/3/1,0.83,0.08
2019/3/8,0.75,-0.08
2019/3/15,0.67,-0.08
2019/3/22,0.57,-0.1
2019/3/29,0.56,-0.01
2019/4/5,0.61,0.05
2019/4/12,0.61,0
2019/4/19,0.63,0.02
2019/4/26,0.55,-0.08
2019/5/3,0.63,0.08
2019/5/10,0.6,-0.03
2019/5/17,0.58,-0.02
2019/5/24,0.57,-0.01
2019/5/31,0.41,-0.16
2019/6/7,0.36,-0.05
2019/6/14,0.48,0.12
2019/6/21,0.34,-0.14
2019/6/28,0.34,0
2019/7/5,0.37,0.03
2019/7/12,0.35,-0.02
2019/7/19,0.32,-0.03
2019/7/26,0.36,0.04
2019/8/2,0.27,-0.09
2019/8/9,0.14,-0.13
2019/8/16,0.07,-0.07
2019/8/23,0.06,-0.01
2019/8/30,0.03,-0.03
2019/9/6,0.09,0.06
2019/9/13,0.32,0.23
2019/9/20,0.24,-0.08
2019/9/27,0.24,0
2019/10/4,0.11,-0.13
2019/10/11,0.27,0.16
2019/10/18,0.24,-0.03
2019/10/25,0.24,0
2019/11/1,0.22,-0.02
2019/11/8,0.3,0.08
2019/11/15,0.29,-0.01
2019/11/22,0.22,-0.07
2019/11/29,0.23,0.01
2019/12/6,0.21,-0.02
2019/12/13,0.18,-0.03
2019/12/20,0.21,0.03
2019/12/27,0.21,0
2020/1/3,0.08,-0.13
2020/1/10,0.14,0.06
2020/1/17,0.14,0
2020/1/24,0.04,-0.1
2020/1/31,-0.09,-0.13
2020/2/7,-0.05,0.04
2020/2/14,-0.06,-0.01
2020/2/21,-0.12,-0.06
2020/2/28,-0.27,-0.15
2020/3/6,-0.48,-0.21
2020/3/13,0.31,0.79
2020/3/20,0.6,0.29
2020/3/27,-0.02,-0.62
2020/4/3,-0.25,-0.23
2020/4/10,-0.29,-0.04
2020/4/17,-0.18,0.11
