DIA,LOSS
86.601883,0
86.865013,0.26313
84.37587,-2.489143
84.488663,0.112793
86.601883,2.11322
84.624008,-1.977875
84.977539,0.353531
86.376266,1.398727
86.323624,-0.052642
82.571037,-3.752587
83.21785,0.646813
80.284935,-2.932915
82.698868,2.413933
85.666344,2.967476
83.350647,-2.315697
81.84201,-1.508637
81.691154,-0.150856
83.177162,1.486008
83.840958,0.663796
79.013374,-4.827584
81.736427,2.723053
81.992867,0.25644
79.405594,-2.587273
77.844208,-1.561386
75.354988,-2.48922
71.711693,-3.643295
68.943398,-2.768295
64.530777,-4.412621
63.172997,-1.35778
71.681541,8.508544
70.655663,-1.025878
64.017815,-6.637848
67.789299,3.771484
66.146591,-1.642708
70.48391,4.337319
68.29258,-2.19133
64.605179,-3.687401
66.486618,1.881439
62.784111,-3.702507
60.645725,-2.138386
68.866821,8.221096
67.363159,-1.503662
69.894478,2.531319
70.650101,0.755623
70.597191,-0.05291
72.697815,2.100624
69.40332,-3.294495
65.836861,-3.566459
68.103607,2.266746
67.196915,-0.906692
65.54969,-1.647225
62.784111,-2.765579
67.023178,4.239067
63.637959,-3.385219
62.678364,-0.959595
63.728642,1.050278
60.721279,-3.007363
57.472145,-3.249134
61.132977,3.660832
63.683418,2.550441
64.374077,0.690659
66.173027,1.79895
67.023186,0.850159
61.983131,-5.040055
64.032562,2.049431
65.307701,1.275139
63.561901,-1.7458
65.725189,2.163288
67.645531,1.920342
66.119904,-1.525627
66.522171,0.402267
65.171112,-1.351059
65.550606,0.379494
65.269737,-0.280869
67.987106,2.717369
67.061089,-0.926017
65.550606,-1.510483
64.991699,-0.558907
64.687172,-0.304527
64.00956,-0.677612
64.321678,0.312118
64.770935,0.449257
64.649101,-0.121834
65.996719,1.347618
66.636345,0.639626
68.676826,2.040481
68.29612,-0.380706
68.638786,0.342666
66.895218,-1.743568
66.567825,-0.327393
65.585678,-0.982147
64.557739,-1.027939
64.276039,-0.2817
62.494404,-1.781635
62.570522,0.076118
63.067078,0.496556
60.565441,-2.501637
62.723846,2.158405
61.900173,-0.823673
61.41201,-0.488163
61.831524,0.419514
62.167099,0.335575
63.822109,1.65501
62.182327,-1.639782
61.07642,-1.105907
60.496742,-0.579678
61.495918,0.999176
60.778946,-0.716972
61.434929,0.655983
63.196709,1.76178
63.11282,-0.083889
60.397636,-2.715184
60.67223,0.274594
60.634098,-0.038132
59.909489,-0.724609
57.773983,-2.135506
57.781628,0.007645
57.224812,-0.556816
56.508224,-0.716588
54.530861,-1.977363
56.239986,1.709125
55.695789,-0.544197
55.059677,-0.636112
54.23196,-0.827717
51.986347,-2.245613
51.511158,-0.475189
52.70676,1.195602
50.637405,-2.069355
50.966999,0.329594
50.154572,-0.812427
52.990368,2.835796
53.250942,0.260574
55.006016,1.755074
55.427555,0.421539
55.41988,-0.007675
56.776447,1.356567
57.458569,0.682122
56.799458,-0.659111
55.882938,-0.91652
59.73959,3.856652
58.925236,-0.814354
59.470669,0.545433
60.769066,1.298397
59.777943,-0.991123
57.811272,-1.966671
58.264507,0.453235
59.562878,1.298371
61.237686,1.674808
61.58342,0.345734
61.2761,-0.30732
59.839447,-1.436653
60.208206,0.368759
62.144234,1.936028
61.883022,-0.261212
60.899601,-0.983421
61.690922,0.791321
62.428497,0.737575
62.570045,0.141548
60.423115,-2.14693
61.246479,0.823364
60.646259,-0.60022
61.292625,0.646366
62.123756,0.831131
61.762085,-0.361671
61.654316,-0.107769
62.924026,1.26971
62.847084,-0.076942
63.224171,0.377087
64.82476,1.600589
64.763184,-0.061576
65.563522,0.800338
64.770927,-0.792595
65.963722,1.192795
64.97097,-0.992752
65.194138,0.223168
63.970577,-1.223561
64.170654,0.200077
63.889744,-0.28091
65.695747,1.806003
65.402489,-0.293258
64.977982,-0.424507
64.136726,-0.841256
63.959183,-0.177543
65.487366,1.528183
64.183067,-1.304299
64.846786,0.663719
65.904129,1.057343
67.416885,1.512756
67.532608,0.115723
67.108154,-0.424454
67.540382,0.432228
67.849083,0.308701
67.717865,-0.131218
67.717865,0
67.648415,-0.06945
67.810493,0.162078
68.157768,0.347275
66.75309,-1.404678
65.803802,-0.949288
65.780647,-0.023155
66.081688,0.301041
66.060783,-0.020905
64.519798,-1.540985
64.411407,-0.108391
64.295219,-0.116188
65.603897,1.308678
65.255432,-0.348465
66.014313,0.758881
65.557388,-0.456925
65.843925,0.286537
64.264198,-1.579727
64.465569,0.201371
63.14912,-1.316449
63.443436,0.294316
63.31953,-0.123906
63.063988,-0.255542
64.512047,1.448059
64.78302,0.270973
66.749893,1.966873
67.547508,0.797615
67.823608,0.2761
68.498222,0.674614
69.149673,0.651451
68.924797,-0.224876
70.281868,1.357071
70.54554,0.263672
70.677383,0.131843
70.56105,-0.116333
70.320656,-0.240394
70.894493,0.573837
71.088394,0.193901
72.011185,0.922791
72.267113,0.255928
71.987923,-0.27919
71.832794,-0.155129
72.732368,0.899574
72.50753,-0.224838
71.794022,-0.713508
72.716904,0.922882
73.042603,0.325699
72.437691,-0.604912
71.041809,-1.395882
71.57692,0.535111
72.220551,0.643631
72.732368,0.511817
73.953384,1.221016
74.031204,0.07782
74.303596,0.272392
74.28801,-0.015586
74.568184,0.280174
74.381439,-0.186745
73.968941,-0.412498
