PORT_VAL,loss,log return
1,-0.00698756,0.00696326
1.00698756,-0.005236264,0.005186456
1.012223824,0.001120899,-0.001107976
1.011102925,-0.001341467,0.001325857
1.012444392,-0.005163792,0.005087359
1.017608184,0.003793096,-0.003734426
1.013815088,-0.003482595,0.003429252
1.017297683,0.002302963,-0.002266371
1.01499472,-0.002341757,0.002304505
1.017336478,-0.011748996,0.011482603
1.029085474,-0.009207085,0.008907075
1.038292558,-0.00742129,0.007122167
1.045713848,-0.001690554,0.001615346
1.047404402,-0.002816474,0.002685394
1.050220876,-0.00976855,0.009258432
1.059989426,0.001778813,-0.001679551
1.058210614,0.003498513,-0.003311542
1.054712101,0.001339147,-0.001270487
1.053372954,0.001901916,-0.00180718
1.051471039,-0.009429307,0.008927757
1.060900345,-0.004012369,0.003774907
1.064912714,-0.011664116,0.010893568
1.07657683,-0.001030681,0.00095691
1.077607511,-0.005322056,0.004926615
1.082929567,-0.007864002,0.007235546
1.090793569,-0.000337909,0.000309734
1.091131478,0.010132078,-0.009329228
1.0809994,-0.007729799,0.00712516
1.088729199,-0.004683287,0.004292383
1.093412486,0.002379123,-0.00217824
1.091033363,-0.012868136,0.011725435
1.103901498,0.00121275,-0.001099207
1.102688749,0.00369128,-0.003353142
1.098997469,0.002252559,-0.002051752
1.09674491,-0.006365287,0.005787022
1.103110197,-0.00144506,0.00130913
1.104555257,0.003612795,-0.003276175
1.100942461,-0.005553357,0.005031505
1.106495818,0.004986685,-0.004516923
1.101509133,-0.003037909,0.002754155
1.104547041,0.002589116,-0.002346804
1.101957926,0.005922641,-0.005389148
1.096035285,0.015298637,-0.014056492
1.080736648,-0.009675098,0.008912483
1.090411745,-0.009320987,0.008511807
1.099732732,-0.005213892,0.00472985
1.104946624,0.000482164,-0.000436464
1.10446446,-0.01674976,0.015051658
1.12121422,0.003810763,-0.003404571
1.117403457,-0.006168118,0.005504866
1.123571575,0.001722847,-0.001534543
1.121848728,0.000365389,-0.000325755
1.12148334,0.006305927,-0.005638713
1.115177413,0.003337499,-0.002997284
1.111839913,0.00264804,-0.002384515
1.109191873,0.001568858,-0.001415417
1.107623015,-0.01147589,0.010307521
1.119098905,-7.48558E-06,6.68891E-06
1.11910639,0.003045644,-0.002725207
1.116060746,-0.000803022,0.000719256
1.116863768,-0.006537287,0.00583619
1.123401055,-0.002783261,0.002474467
1.126184317,0.007238159,-0.006447896
1.118946158,0.011543226,-0.010369739
1.107402932,-0.003687215,0.003324074
1.111090147,0.012039342,-0.010894745
1.099050805,0.02037334,-0.018711182
1.078677464,-0.00858578,0.007928033
1.087263244,-0.015636969,0.014279514
1.102900213,0.009403329,-0.008562556
1.093496884,-0.005698913,0.005198107
1.099195797,-0.011189905,0.010128615
1.110385702,0.00212318,-0.001913941
1.108262521,0.006786893,-0.006142732
1.101475628,-0.006113996,0.005535384
1.107589625,0.014617918,-0.013285822
1.092971706,0.004175022,-0.003827195
1.088796684,-0.004989673,0.004572272
1.093786357,-0.007280886,0.006634531
1.101067243,0.002919519,-0.002655057
1.098147724,0.003604884,-0.003288095
1.09454284,-0.001290603,0.00117843
1.095833442,-0.000158824,0.000144924
1.095992267,0.005771261,-0.0052797
1.090221005,0.016529657,-0.015277863
1.073691349,0.001310512,-0.001221312
1.072380836,0.007420206,-0.006943426
1.06496063,-0.000197083,0.000185044
1.065157713,0.000316748,-0.000297416
1.064840966,-0.007663928,0.007171475
1.072504894,0.010284417,-0.009635429
1.062220477,0.007468466,-0.007055828
1.05475201,0.00559729,-0.005320867
1.04915472,0.010726894,-0.010276947
1.038427826,0.006671016,-0.006444873
1.031756811,-0.014419287,0.013878714
1.046176098,-0.002612575,0.002494148
1.048788673,-0.001731509,0.001649599
1.050520182,-0.00015644,0.000148906
1.050676622,-2.19408E-05,2.08823E-05
1.050698563,-0.014421932,0.013632693
1.065120495,0.012484739,-0.011790671
1.052635756,0.003213287,-0.003057279
1.049422469,0.024617167,-0.023737338
1.024805302,0.002608336,-0.002548446
1.022196967,-0.004229719,0.004129333
1.026426685,-0.023478308,0.022616145
1.049904993,4.7815E-05,-4.55432E-05
1.049857178,-0.012069826,0.011431052
1.061927005,0.012807952,-0.012134372
1.049119052,-0.012016375,0.011388678
1.061135427,0.015971538,-0.015165788
1.045163889,-0.005269326,0.00502896
1.050433215,-0.009192828,0.008713391
1.059626043,-0.000909537,0.000857989
1.06053558,-0.014804593,0.013863007
1.075340173,0.002010136,-0.001871052
1.073330037,0.024689118,-0.023271037
1.048640919,-0.007141514,0.006787172
1.055782432,0.015050333,-0.014357727
1.0407321,-0.004775357,0.004577964
1.045507456,-0.005538587,0.005283529
1.051046044,-0.001327358,0.001262095
1.052373401,-0.016780257,0.015819367
1.069153658,0.003694404,-0.003461431
1.065459254,-0.010665569,0.009960531
1.076124824,-0.00131102,0.001217538
1.077435844,0.009603239,-0.008953008
1.067832605,0.005454208,-0.005120826
1.062378398,0.009108791,-0.008610929
1.053269606,0.004497437,-0.004279119
1.04877217,0.003284472,-0.003136645
1.045487697,-0.018567326,0.017603631
1.064055024,0.00499078,-0.004701374
1.059064244,-0.000690855,0.000652113
1.059755099,-0.013967599,0.013093925
