Date,Adj Close,LN return
2012/1/3,20.8885,0
2012/1/4,20.8885,0.00730808
2012/1/5,21.041714,-0.0097562
2012/1/6,20.837425,-0.002453743
2012/1/9,20.786358,0.024272833
2012/1/10,21.297075,0.076161403
2012/1/11,22.982456,0.051959657
2012/1/12,24.208185,-0.019169786
2012/1/13,23.748539,0.010695388
2012/1/17,24.003902,0.008474399
2012/1/18,24.208185,0.029108338
2012/1/19,24.923201,0.030274648
2012/1/20,25.68928,-0.040573454
2012/1/23,24.667839,0.022518807
2012/1/24,25.229631,-0.016326933
2012/1/25,24.821053,0
2012/1/26,24.821053,0.006153971
2012/1/27,24.974272,-0.014418338
2012/1/30,24.616768,-0.004158081
2012/1/31,24.514622,-0.008368475
2012/2/1,24.310328,0.008368475
2012/2/2,24.514622,0.030771622
2012/2/3,25.280703,-0.008113654
2012/2/6,25.076414,-0.004081548
2012/2/7,24.974272,-0.008213618
2012/2/8,24.769983,0.004115101
2012/2/9,24.872124,0.002051478
2012/2/10,24.923201,-0.002051478
2012/2/13,24.872124,-0.002055454
2012/2/14,24.821053,0.006153971
2012/2/15,24.974272,-0.006153971
2012/2/16,24.821053,0.012270301
2012/2/17,25.127491,-0.020534669
2012/2/21,24.616768,-0.023086209
2012/2/22,24.05497,0.006349171
2012/2/23,24.208185,-0.025642327
2012/2/24,23.595322,0.004319819
2012/2/27,23.69747,-0.004319819
2012/2/28,23.595322,-0.013072092
2012/2/29,23.288889,0.008733914
2012/3/1,23.493183,0
2012/3/2,23.493183,-0.004357465
2012/3/5,23.391035,-0.040094532
2012/3/6,22.471735,0
2012/3/7,22.471735,0.029117112
2012/3/8,23.135666,0.023992882
2012/3/9,23.69747,0.002152721
2012/3/12,23.748539,0.042111544
2012/3/13,24.769983,0.010256474
2012/3/14,25.025343,0.020202539
2012/3/15,25.53606,-0.004007776
2012/3/16,25.433922,0.004007776
2012/3/19,25.53606,-0.002001802
2012/3/20,25.484993,-0.002005974
2012/3/21,25.433922,-0.016194763
2012/3/22,25.025343,0.002038692
2012/3/23,25.076414,0.018163848
2012/3/26,25.53606,-0.002001802
2012/3/27,25.484993,0.013930229
2012/3/28,25.842489,0.013739604
2012/3/29,26.200005,0.009699334
2012/3/30,26.455364,0.030420666
2012/4/2,27.27252,-0.018904216
2012/4/3,26.761797,-0.017324739
2012/4/4,26.302149,0.011582773
2012/4/5,26.608572,-0.005774484
2012/4/9,26.455364,-0.039375141
2012/4/10,25.433922,0.031623031
2012/4/11,26.251072,0.013526593
2012/4/12,26.608572,0.046869189
2012/4/13,27.885382,0.003656159
2012/4/16,27.987522,0.007273026
2012/4/17,28.191818,0
2012/4/18,28.191818,-0.003629759
2012/4/19,28.089674,0.010849952
2012/4/20,28.396105,-0.001800141
2012/4/23,28.345034,0.010752764
2012/4/24,28.651466,-0.001784012
2012/4/25,28.600397,-0.014388805
2012/4/26,28.191818,-0.010929185
2012/4/27,27.885382,-0.056512292
2012/4/30,26.353216,0.003868619
2012/5/1,26.455364,-0.003868619
2012/5/2,26.353216,-0.027506656
2012/5/3,25.638206,-0.024194629
2012/5/4,25.025343,0.012170545
2012/5/7,25.331776,-0.012170545
2012/5/8,25.025343,-0.004089895
2012/5/9,24.923201,0.018274573
2012/5/10,25.382849,-0.008081228
2012/5/11,25.178551,-0.024641442
2012/5/14,24.565697,0.006217499
2012/5/15,24.71891,-0.006217499
2012/5/16,24.565697,-0.002081283
2012/5/17,24.514622,-0.004175443
2012/5/18,24.412476,0.008333524
2012/5/21,24.616768,-0.008333524
2012/5/22,24.412476,0.002090105
2012/5/23,24.463554,0.004166621
2012/5/24,24.565697,-0.002081283
2012/5/25,24.514622,0
2012/5/29,24.514622,0.004158081
2012/5/30,24.616768,-0.012526556
2012/5/31,24.310328,-0.014815051
2012/6/1,23.952824,-0.015037757
2012/6/4,23.595322,0.010764466
2012/6/5,23.850685,0.027456818
2012/6/6,24.514622,0.026722725
2012/6/7,25.178551,0.041714345
2012/6/8,26.251072,0.110406251
2012/6/11,29.315403,0.073859037
2012/6/12,31.562576,0.038099629
2012/6/13,32.7883,0.057504854
2012/6/14,34.729053,0.023256772
2012/6/15,35.546204,0.046323928
2012/6/18,37.231579,-0.019391032
2012/6/19,36.516575,-0.007017968
2012/6/20,36.2612,-0.002820815
2012/6/21,36.159058,0.040144161
2012/6/22,37.640163,0.078266687
2012/6/25,40.704487,-0.13982478
2012/6/26,35.392982,0.012903485
2012/6/27,35.852634,0.025317881
2012/6/28,36.771935,0.078759915
2012/6/29,39.785194,0.029097119
2012/7/2,40.959835,0.008690508
2012/7/3,41.317348,-0.004956725
2012/7/5,41.113056,-0.001242884
2012/7/6,41.061989,0.009901071
2012/7/9,41.470566,-0.007416555
2012/7/10,41.164135,0.002478261
2012/7/11,41.266277,0.003706204
2012/7/12,41.419502,0.011035899
2012/7/13,41.879135,0.006079198
2012/7/16,42.134502,-0.001212925
2012/7/17,42.083427,0.0096621
2012/7/18,42.492012,0.041206637
2012/7/19,44.279541,0.009184818
2012/7/20,44.688114,-0.023122587
2012/7/23,43.666664,-0.005865105
2012/7/24,43.411304,0.03468561
2012/7/25,44.94347,0.041185615
2012/7/26,46.833141,0.03850744
2012/7/27,48.671738,0.004188477
2012/7/30,48.876026,-0.032929327
2012/7/31,47.292782,-0.032933875
2012/8/1,45.760616,-0.044502345
2012/8/2,43.76881,0.101970872
2012/8/3,48.467445,0.062297014
2012/8/6,51.582855,0.023484441
2012/8/7,52.808586,-0.023484441
2012/8/8,51.582855,-0.120882124
2012/8/9,45.709549,-0.005601978
2012/8/10,45.454201,-0.041290432
2012/8/13,43.615597,0.022004196
2012/8/14,44.58596,0.013652257
2012/8/15,45.198833,0.01346814
2012/8/16,45.811695,0.006666827
2012/8/17,46.118134,-0.003327912
2012/8/20,45.964912,-0.020202746
2012/8/21,45.045612,-0.025259446
2012/8/22,43.922035,-0.049560868
2012/8/23,41.798283,-0.006246086
2012/8/24,41.538021,-0.007547134
2012/8/27,41.225708,0.057649335
